GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
0300000US1,1,New England Division,14444865,14445433,14469344,14527701,14581225,14634725,14682710,14710229,14735525
0300000US2,2,Middle Atlantic Division,40872375,40872920,40918712,41105065,41247834,41354046,41434081,41474508,41473985
0300000US3,3,East North Central Division,46421564,46423855,46440847,46507169,46572795,46660465,46731329,46742511,46755973
0300000US4,4,West North Central Division,20505437,20505970,20537755,20646162,20759525,20883483,20995039,21095876,21185456
0300000US5,5,South Atlantic Division,59777037,59781910,59931063,60569173,61216338,61798056,62465935,63192408,63923309
0300000US6,6,East South Central Division,18432505,18433876,18461147,18545068,18640010,18715259,18793334,18862932,18940194
0300000US7,7,West South Central Division,36346202,36347219,36470904,36947560,37442823,37911005,38437042,38983866,39456071
0300000US8,8,Mountain Division,22065451,22066233,22126486,22347471,22609504,22875549,23167555,23492558,23855067
0300000US9,9,Pacific Division,49880102,49880689,49991935,50467989,50928325,51372320,51856431,52341730,52801933
