GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0300000US1,1,New England Division,14444865,14445430,14468393,14528782,14584723,14643033,14696147,14726156,14757573,14810001
0300000US2,2,Middle Atlantic Division,40872375,40872920,40919956,41113877,41275538,41404699,41506931,41570472,41601787,41660580
0300000US3,3,East North Central Division,46421564,46423837,46437641,46502999,46568813,46661624,46735308,46756588,46798649,46885244
0300000US4,4,West North Central Division,20505437,20505957,20535719,20638502,20749482,20872827,20984812,21082599,21179519,21294107
0300000US5,5,South Atlantic Division,59777037,59781944,59941610,60577422,61215000,61804278,62477888,63226230,63991523,64705532
0300000US6,6,East South Central Division,18432505,18433873,18459846,18540887,18631214,18705297,18779037,18848938,18931477,19029020
0300000US7,7,West South Central Division,36346202,36347207,36467785,36942684,37445514,37912694,38443041,39006070,39500457,39924072
0300000US8,8,Mountain Division,22065451,22066252,22123490,22340891,22595566,22854798,23136010,23456688,23811346,24158117
0300000US9,9,Pacific Division,49880102,49880685,49983981,50458236,50927422,51375255,51863351,52366098,52833604,53252505
