GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
0300000US1,1,New England Division,14444865,14445471,14469783,14529652,14589870,14644797,14703653,14729548,14759146,14802967,14853290
0300000US2,2,Middle Atlantic Division,40872375,40872959,40910862,41070880,41186859,41263026,41312211,41318039,41299643,41269709,41257789
0300000US3,3,East North Central Division,46421564,46423789,46438539,46513075,46586913,46693513,46768031,46784467,46820090,46878905,46931883
0300000US4,4,West North Central Division,20505437,20505954,20536210,20639556,20750024,20870622,20984207,21084672,21176827,21277130,21376861
0300000US5,5,South Atlantic Division,59777037,59781960,59938760,60545558,61172939,61748943,62401885,63138979,63932017,64641801,65322408
0300000US6,6,East South Central Division,18432505,18433875,18459485,18544202,18636993,18717506,18788413,18858660,18936283,19027451,19112813
0300000US7,7,West South Central Division,36346202,36347210,36468821,36949639,37461143,37926795,38467439,39039903,39532886,39929172,40318727
0300000US8,8,Mountain Division,22065451,22066193,22124419,22350951,22611397,22880389,23167729,23494771,23849630,24184624,24552385
0300000US9,9,Pacific Division,49880102,49880694,49979206,50436496,50878080,51312136,51792853,52293634,52764820,53135362,53441278
