GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
310M300US10180,10180,"Abilene, TX Metro Area",165252,165252,165603,166651,167540,167609,168465,169893,170364
310M300US10420,10420,"Akron, OH Metro Area",703200,703203,703124,703115,702477,703433,704355,703358,702221
310M300US10500,10500,"Albany, GA Metro Area",157308,157500,157663,157814,157322,155953,155154,153508,152219
310M300US10540,10540,"Albany, OR Metro Area",116672,116672,116888,118127,118332,118496,119188,120444,122849
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",870716,870692,871103,873214,875637,878401,879775,880803,881839
310M300US10740,10740,"Albuquerque, NM Metro Area",887077,887080,889639,896818,900781,902911,903658,905174,909906
310M300US10780,10780,"Alexandria, LA Metro Area",153922,153922,154136,154426,154588,154828,154861,154662,154789
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,821266,822129,825160,827294,827238,830452,833049,835652
310M300US11020,11020,"Altoona, PA Metro Area",127089,127076,127053,127178,126991,126419,126019,125506,124650
310M300US11100,11100,"Amarillo, TX Metro Area",251933,251933,252722,256008,257784,258952,260858,261613,263342
310M300US11180,11180,"Ames, IA Metro Area",89542,89542,89634,90864,91799,93569,95366,96346,97090
310M300US11260,11260,"Anchorage, AK Metro Area",380821,380821,383181,388228,392318,397066,398625,399432,402557
310M300US11460,11460,"Ann Arbor, MI Metro Area",344791,345066,345568,349071,351299,354573,358980,360847,364709
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",118572,118586,118468,117736,117208,116475,115837,115285,114611
310M300US11540,11540,"Appleton, WI Metro Area",225666,225666,225937,227502,228669,229935,231525,233056,234079
310M300US11700,11700,"Asheville, NC Metro Area",424858,424853,425461,428403,431888,437020,441258,446138,452319
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",192541,192541,193450,194634,196370,197793,198787,202822,205290
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5286728,5286725,5303929,5373558,5452145,5517230,5605765,5699050,5789700
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",274549,274540,274757,275017,275604,275784,274715,273035,270991
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",140247,140296,140804,144123,148289,151411,154277,156767,158991
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",564873,564873,566569,570925,576549,579840,583462,590047,594919
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",1716289,1716320,1727656,1780819,1834319,1882856,1941389,1998104,2056405
310M300US12540,12540,"Bakersfield, CA Metro Area",839631,839627,841676,849484,855808,864454,872138,879497,884788
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",2710489,2710583,2715705,2735170,2755622,2771765,2784254,2793837,2798886
310M300US12620,12620,"Bangor, ME Metro Area",153923,153920,153872,153814,153589,153518,153500,152478,151806
310M300US12700,12700,"Barnstable Town, MA Metro Area",215888,215868,215908,215372,214915,214844,214858,214621,214276
310M300US12940,12940,"Baton Rouge, LA Metro Area",802484,802500,804311,808397,813756,819507,825155,829741,835175
310M300US12980,12980,"Battle Creek, MI Metro Area",136146,136148,136025,135245,134777,134869,134976,134447,134386
310M300US13020,13020,"Bay City, MI Metro Area",107771,107771,107688,107498,107091,106910,106232,105557,104747
310M300US13140,13140,"Beaumont-Port Arthur, TX Metro Area",403190,403194,403704,405226,403668,405225,405407,408261,409968
310M300US13220,13220,"Beckley, WV Metro Area",124898,124901,124900,125203,125140,124414,123480,122255,120924
310M300US13380,13380,"Bellingham, WA Metro Area",201140,201140,201586,203482,205008,206348,208325,212164,216800
310M300US13460,13460,"Bend-Redmond, OR Metro Area",157733,157733,157839,159775,161765,165859,170193,174942,181307
310M300US13740,13740,"Billings, MT Metro Area",158934,158934,159358,160768,162853,165155,166739,168164,169728
310M300US13780,13780,"Binghamton, NY Metro Area",251725,251737,251469,250404,249219,248498,247462,245879,244094
310M300US13820,13820,"Birmingham-Hoover, AL Metro Area",1128047,1128056,1128937,1130857,1133917,1138578,1141775,1144857,1147417
310M300US13900,13900,"Bismarck, ND Metro Area",114778,114778,115277,117384,120254,124035,126754,129717,131635
310M300US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",178237,178257,178523,178893,179560,180875,181429,181701,182876
310M300US14010,14010,"Bloomington, IL Metro Area",186133,186133,186445,187336,189057,191162,190086,188933,188644
310M300US14020,14020,"Bloomington, IN Metro Area",159549,159542,160140,161712,162673,163110,164466,165066,166336
310M300US14100,14100,"Bloomsburg-Berwick, PA Metro Area",85562,85563,85671,85289,85342,85463,85366,84944,84763
310M300US14260,14260,"Boise City, ID Metro Area",616561,616561,618025,627610,637527,649653,664024,675777,691423
310M300US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4552402,4552595,4565907,4608410,4652011,4696293,4734711,4766755,4794447
310M300US14500,14500,"Boulder, CO Metro Area",294567,294571,295983,300597,305350,310287,313204,318738,322226
310M300US14540,14540,"Bowling Green, KY Metro Area",158599,158599,159155,160761,162207,164114,165942,168620,171122
310M300US14740,14740,"Bremerton-Silverdale, WA Metro Area",251133,251137,251735,254451,254729,253114,254272,260514,264811
310M300US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",916829,916846,919750,928890,934931,940621,943686,944674,944177
310M300US15180,15180,"Brownsville-Harlingen, TX Metro Area",406220,406219,407629,412937,415445,417260,419191,419893,422135
310M300US15260,15260,"Brunswick, GA Metro Area",112370,112368,112540,113031,113407,113872,114750,116022,116784
310M300US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135509,1135617,1135709,1135817,1135633,1136417,1137186,1135479,1132804
310M300US15500,15500,"Burlington, NC Metro Area",151131,151144,151486,152847,153659,154622,156036,157857,159688
310M300US15540,15540,"Burlington-South Burlington, VT Metro Area",211261,211262,211554,212890,214006,215223,216537,217273,217365
310M300US15680,15680,"California-Lexington Park, MD Metro Area",105151,105148,105752,107781,109071,109607,110483,111628,112587
310M300US15940,15940,"Canton-Massillon, OH Metro Area",404422,404428,404295,403159,403394,403270,403751,402655,401281
310M300US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",618754,618754,620590,630543,644096,660085,678048,700285,722336
310M300US16020,16020,"Cape Girardeau, MO-IL Metro Area",96275,96275,96443,97064,97278,97286,97589,97514,97443
310M300US16060,16060,"Carbondale-Marion, IL Metro Area",126575,126580,126819,127031,125755,126980,126643,126809,126430
310M300US16180,16180,"Carson City, NV Metro Area",55274,55274,55025,54738,54540,53989,54385,54405,54742
310M300US16220,16220,"Casper, WY Metro Area",75450,75450,75474,76410,78602,81092,81432,82191,81039
310M300US16300,16300,"Cedar Rapids, IA Metro Area",257940,257941,258408,260882,261705,262295,263734,265850,267799
310M300US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",149618,149618,149948,151014,151575,152063,152751,153295,153851
310M300US16580,16580,"Champaign-Urbana, IL Metro Area",231891,231889,232298,233325,234442,235612,236788,237840,238554
310M300US16620,16620,"Charleston, WV Metro Area",227078,227071,226896,225811,225796,224687,222797,220375,217916
310M300US16700,16700,"Charleston-North Charleston, SC Metro Area",664607,664644,667501,681318,697123,711449,727027,744603,761155
310M300US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2217012,2216974,2223454,2256476,2294642,2334781,2377378,2424643,2474314
310M300US16820,16820,"Charlottesville, VA Metro Area",218705,218707,219094,221251,222966,224347,226440,228977,231349
