GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
310M300US10180,10180,"Abilene, TX Metro Area",165252,165248,165583,166633,167452,167426,168143,169478,169733,170219
310M300US10380,10380,"Aguadilla-Isabela, PR Metro Area",339441,339465,338935,335104,330765,326663,321434,315575,309215,302615
310M300US10420,10420,"Akron, OH Metro Area",703200,703203,703037,703152,702066,703085,704311,703530,702556,703505
310M300US10500,10500,"Albany, GA Metro Area",157308,157500,157596,157875,157369,156025,155293,153686,152440,151434
310M300US10540,10540,"Albany, OR Metro Area",116672,116672,116878,118112,118242,118388,119025,120210,122700,125047
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",870716,870720,871159,873206,875586,878628,880140,881551,882801,886188
310M300US10740,10740,"Albuquerque, NM Metro Area",887077,887061,889570,896838,900368,902083,902069,903489,906877,910726
310M300US10780,10780,"Alexandria, LA Metro Area",153922,153922,154107,154374,154436,154639,154633,154272,154394,153984
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,821272,821963,824980,826634,826533,829625,832011,835233,840550
310M300US11020,11020,"Altoona, PA Metro Area",127089,127076,127030,126989,126593,125977,125502,124818,123927,123457
310M300US11100,11100,"Amarillo, TX Metro Area",251933,251933,252674,255992,257777,258847,260662,261508,263036,264925
310M300US11180,11180,"Ames, IA Metro Area",89542,89542,89627,90797,91730,93462,95310,96348,96816,97502
310M300US11260,11260,"Anchorage, AK Metro Area",380821,380821,383108,388012,392201,396934,398400,399082,401499,400888
310M300US11460,11460,"Ann Arbor, MI Metro Area",344791,345066,345515,349102,351333,354714,358635,361815,364752,367627
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",118572,118586,118466,117785,117219,116482,115941,115505,114980,114728
310M300US11540,11540,"Appleton, WI Metro Area",225666,225666,225940,227552,228676,229973,231595,233131,234302,236126
310M300US11640,11640,"Arecibo, PR Metro Area",199471,199471,199220,197385,195505,194020,191132,188275,184987,181643
310M300US11700,11700,"Asheville, NC Metro Area",424858,424856,425340,428230,431145,436077,440039,444952,450914,456145
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",192541,192564,193446,194508,196169,197731,198650,202824,205421,209271
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5286728,5286743,5303327,5373016,5451561,5517034,5605117,5702331,5795723,5884736
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",274549,274540,274761,275107,275732,275954,274842,273088,270830,269918
