GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
310M300US10100,10100,"Aberdeen, SD Micro Area",40602,40602,40723,41038,41624,42290,42450,42708,43080
310M300US10140,10140,"Aberdeen, WA Micro Area",72797,72804,72863,72349,71746,70989,70779,71023,71628
310M300US10220,10220,"Ada, OK Micro Area",37492,37492,37602,37714,38039,38165,38263,38268,38330
310M300US10300,10300,"Adrian, MI Micro Area",99892,99892,99635,99302,98994,98784,98696,98389,98504
310M300US10460,10460,"Alamogordo, NM Micro Area",63797,63799,64356,65494,66016,65813,64994,64430,65410
310M300US10620,10620,"Albemarle, NC Micro Area",60585,60585,60551,60480,60485,60595,60595,60586,60791
310M300US10660,10660,"Albert Lea, MN Micro Area",31255,31255,31210,31093,31035,30936,30768,30570,30446
310M300US10700,10700,"Albertville, AL Micro Area",93019,93019,93150,93885,94182,94318,94320,94693,95157
310M300US10760,10760,"Alexander City, AL Micro Area",41616,41618,41512,41459,41144,41139,41027,40755,40727
310M300US10820,10820,"Alexandria, MN Micro Area",36009,36009,35997,36275,36446,36545,36804,37057,37456
310M300US10860,10860,"Alice, TX Micro Area",40838,40838,40889,41216,41672,41697,41458,41456,41149
310M300US10940,10940,"Alma, MI Micro Area",42476,42476,42425,42160,42039,42019,41607,41513,41202
310M300US10980,10980,"Alpena, MI Micro Area",29598,29598,29539,29339,29208,29012,28932,28791,28704
310M300US11060,11060,"Altus, OK Micro Area",26446,26446,26467,26418,26260,26186,25856,25520,25497
310M300US11140,11140,"Americus, GA Micro Area",37829,37827,37730,37135,36627,36428,36346,35906,35487
