GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
310M300US10100,10100,"Aberdeen, SD Micro Area",40602,40602,40719,41007,41576,42255,42326,42502,42856,43097
310M300US10140,10140,"Aberdeen, WA Micro Area",72797,72804,72851,72366,71792,71066,70818,71065,71625,72697
310M300US10220,10220,"Ada, OK Micro Area",37492,37492,37601,37749,38068,38158,38288,38331,38443,38224
310M300US10260,10260,"Adjuntas, PR Micro Area",19483,19483,19472,19297,19116,19019,18798,18560,18276,17971
310M300US10300,10300,"Adrian, MI Micro Area",99892,99892,99631,99323,98978,98766,98692,98334,98510,98623
310M300US10460,10460,"Alamogordo, NM Micro Area",63797,63817,64386,65432,65943,65677,64792,64178,65184,65817
310M300US10620,10620,"Albemarle, NC Micro Area",60585,60586,60577,60533,60479,60667,60659,60685,60880,61482
310M300US10660,10660,"Albert Lea, MN Micro Area",31255,31255,31208,31072,31029,30929,30740,30488,30403,30535
310M300US10700,10700,"Albertville, AL Micro Area",93019,93019,93129,93890,94217,94291,94232,94577,95043,95548
310M300US10760,10760,"Alexander City, AL Micro Area",41616,41618,41477,41394,41040,41021,40886,40617,40574,40681
310M300US10820,10820,"Alexandria, MN Micro Area",36009,36009,35986,36175,36286,36340,36573,36794,37173,37575
310M300US10860,10860,"Alice, TX Micro Area",40838,40838,40887,41206,41628,41664,41472,41469,41115,40871
310M300US10940,10940,"Alma, MI Micro Area",42476,42476,42429,42102,41955,41901,41438,41308,40932,41018
310M300US10980,10980,"Alpena, MI Micro Area",29598,29598,29512,29336,29161,28953,28874,28705,28657,28462
310M300US11060,11060,"Altus, OK Micro Area",26446,26446,26483,26410,26216,26137,25809,25404,25397,25125
310M300US11140,11140,"Americus, GA Micro Area",37829,37827,37703,37124,36623,36447,36372,35886,35513,35060
310M300US11220,11220,"Amsterdam, NY Micro Area",50219,50256,50299,49906,49828,49755,49667,49556,49266,49258
310M300US11380,11380,"Andrews, TX Micro Area",14786,14786,14847,15386,16106,16788,17448,18092,17837,17722
310M300US11420,11420,"Angola, IN Micro Area",34185,34183,34145,34099,34184,34392,34518,34514,34388,34484
310M300US11580,11580,"Arcadia, FL Micro Area",34862,34862,34936,34794,34952,34840,35271,35475,35925,36862
310M300US11620,11620,"Ardmore, OK Micro Area",47557,47726,47798,48031,47993,48437,48548,48500,48359,48190
310M300US11660,11660,"Arkadelphia, AR Micro Area",22995,22993,22927,22918,22745,22574,22551,22506,22550,22293
310M300US11680,11680,"Arkansas City-Winfield, KS Micro Area",36311,36306,36308,36235,36251,36142,35844,35690,35621,35361
310M300US11740,11740,"Ashland, OH Micro Area",53139,53139,53324,53247,53233,53118,53107,53224,53417,53628
310M300US11780,11780,"Ashtabula, OH Micro Area",101497,101488,101397,101060,100227,99716,99021,98396,98169,97807
310M300US11820,11820,"Astoria, OR Micro Area",37039,37029,37085,37189,37377,37084,37421,37783,38637,39182
310M300US11860,11860,"Atchison, KS Micro Area",16924,16921,16858,16754,16774,16688,16524,16414,16373,16332
310M300US11900,11900,"Athens, OH Micro Area",64757,64764,65178,65080,64590,64456,64649,65793,66320,66597
310M300US11940,11940,"Athens, TN Micro Area",52266,52278,52168,52308,52365,52330,52538,52439,52659,52877
310M300US11980,11980,"Athens, TX Micro Area",78532,78534,78623,78792,78938,78628,79262,79447,80034,81064
310M300US12120,12120,"Atmore, AL Micro Area",38319,38319,38346,38202,38028,37773,37740,37667,37476,37447
310M300US12140,12140,"Auburn, IN Micro Area",42223,42219,42297,42450,42284,42325,42387,42452,42620,42836
310M300US12180,12180,"Auburn, NY Micro Area",80026,80003,79889,79689,79516,79115,78800,78319,77757,77603
310M300US12300,12300,"Augusta-Waterville, ME Micro Area",122151,122151,122072,121765,121607,121171,121144,120983,121328,121821
310M300US12380,12380,"Austin, MN Micro Area",39163,39163,39211,39370,39421,39358,39371,39305,39329,39566
310M300US12460,12460,"Bainbridge, GA Micro Area",27842,27842,27813,27657,27456,27407,27194,27083,26715,26716
310M300US12660,12660,"Baraboo, WI Micro Area",61976,61976,62072,62272,62415,62818,63005,63292,63604,63981
310M300US12680,12680,"Bardstown, KY Micro Area",43437,43437,43625,44060,44407,44544,44857,45103,45512,45640
310M300US12740,12740,"Barre, VT Micro Area",59534,59526,59570,59559,59384,59210,58975,58617,58365,58290
310M300US12780,12780,"Bartlesville, OK Micro Area",50976,50974,51059,51318,51584,51595,51924,51968,51914,51932
310M300US12820,12820,"Bastrop, LA Micro Area",27979,27979,27872,27476,27377,26935,26653,26309,25914,25641
310M300US12860,12860,"Batavia, NY Micro Area",60079,59944,59944,59903,59716,59169,58807,58591,58163,57956
310M300US12900,12900,"Batesville, AR Micro Area",36647,36642,36804,36846,36917,36834,37043,37010,37094,37504
310M300US13060,13060,"Bay City, TX Micro Area",36702,36702,36705,36681,36543,36506,36494,36762,37117,36840
310M300US13100,13100,"Beatrice, NE Micro Area",22311,22311,22269,21906,21653,21726,21533,21690,21609,21601
310M300US13180,13180,"Beaver Dam, WI Micro Area",88759,88770,88747,88409,88202,87964,88124,87865,87428,87786
310M300US13260,13260,"Bedford, IN Micro Area",46134,46129,46102,46130,46101,45882,45646,45577,45575,45666
310M300US13300,13300,"Beeville, TX Micro Area",31861,31861,31863,32312,32474,32803,32837,32609,32835,32563
310M300US13340,13340,"Bellefontaine, OH Micro Area",45858,45854,45749,45623,45409,45388,45469,45260,45171,45325
310M300US13420,13420,"Bemidji, MN Micro Area",44442,44442,44570,45037,45133,45481,45629,45600,46011,46513
310M300US13500,13500,"Bennettsville, SC Micro Area",28933,28933,28915,28551,28237,28061,28023,27579,27036,26825
310M300US13540,13540,"Bennington, VT Micro Area",37125,37125,37082,36796,36603,36548,36187,36088,35854,35594
310M300US13620,13620,"Berlin, NH-VT Micro Area",39361,39358,39286,38824,38197,38139,38925,38517,38163,37864
310M300US13660,13660,"Big Rapids, MI Micro Area",42798,42798,42849,43424,43457,43205,43148,42987,43172,43391
310M300US13700,13700,"Big Spring, TX Micro Area",36238,36238,36214,36226,36755,37424,37818,38503,37968,37388
310M300US13720,13720,"Big Stone Gap, VA Micro Area",61313,61312,61436,61317,60746,60295,59384,58773,58062,57304
310M300US13940,13940,"Blackfoot, ID Micro Area",45607,45607,45768,45891,45517,45425,45213,45026,45255,45927
310M300US14140,14140,"Bluefield, WV-VA Micro Area",107342,107338,107471,107240,106637,105867,105068,103936,102540,100848
310M300US14180,14180,"Blytheville, AR Micro Area",46480,46480,46391,46011,45537,44676,44232,43717,42885,42159
310M300US14220,14220,"Bogalusa, LA Micro Area",47168,47171,47120,47155,46709,46445,46353,46389,46424,46633
310M300US14300,14300,"Bonham, TX Micro Area",33915,33910,33917,33872,33576,33541,33615,33476,33855,34446
310M300US14340,14340,"Boone, IA Micro Area",26306,26306,26270,26286,26137,26283,26282,26439,26419,26484
310M300US14380,14380,"Boone, NC Micro Area",51079,51064,50974,51613,52045,52348,52429,53108,54099,55121
310M300US14420,14420,"Borger, TX Micro Area",22150,22249,22210,22013,22004,21894,21898,21781,21570,21375
310M300US14580,14580,"Bozeman, MT Micro Area",89513,89513,89603,91295,92506,94421,97029,100334,104072,107810
310M300US14620,14620,"Bradford, PA Micro Area",43450,43450,43333,43114,43099,42731,42526,42247,41518,41330
310M300US14660,14660,"Brainerd, MN Micro Area",91067,91067,91249,91031,91194,91457,91645,91927,92771,93779
310M300US14700,14700,"Branson, MO Micro Area",83877,83882,84139,84734,84778,84912,85320,85616,86283,87054
310M300US14720,14720,"Breckenridge, CO Micro Area",27994,27994,28068,27988,28229,28655,29186,29852,30332,30585
310M300US14780,14780,"Brenham, TX Micro Area",33718,33700,33708,33957,33911,34191,34411,34869,34821,35043
310M300US14820,14820,"Brevard, NC Micro Area",33090,33087,33083,32819,32852,32853,32979,33198,33471,33956
310M300US15020,15020,"Brookhaven, MS Micro Area",34869,34869,34896,34859,34837,34716,34725,34516,34404,34347
310M300US15060,15060,"Brookings, OR Micro Area",22364,22364,22374,22477,22249,22217,22130,22283,22588,22669
310M300US15100,15100,"Brookings, SD Micro Area",31965,31962,32000,32138,32710,33065,33302,33808,34057,34255
310M300US15140,15140,"Brownsville, TN Micro Area",18787,18807,18812,18535,18246,18206,18164,17973,17803,17573
310M300US15220,15220,"Brownwood, TX Micro Area",38106,38106,38079,37981,37755,37610,37500,37709,38065,38053
310M300US15340,15340,"Bucyrus, OH Micro Area",43784,43785,43757,43308,42778,42709,42386,42277,42037,41746
310M300US15420,15420,"Burley, ID Micro Area",43021,43021,43163,43309,43335,43593,43735,43832,44045,44393
310M300US15460,15460,"Burlington, IA-IL Micro Area",47656,47653,47581,47272,47264,47344,47097,46864,46499,46212
310M300US15580,15580,"Butte-Silver Bow, MT Micro Area",34200,34209,34214,34374,34451,34435,34578,34488,34467,34602
310M300US15620,15620,"Cadillac, MI Micro Area",47584,47584,47553,47530,47509,47516,47811,47760,48122,48274
310M300US15660,15660,"Calhoun, GA Micro Area",55186,55186,55219,55497,55689,55779,55878,56387,56987,57089
310M300US15700,15700,"Cambridge, MD Micro Area",32618,32618,32682,32700,32475,32575,32513,32411,32267,32162
310M300US15740,15740,"Cambridge, OH Micro Area",40087,40091,40127,39902,39871,39705,39689,39385,39200,39093
310M300US15780,15780,"Camden, AR Micro Area",31488,31489,31402,30971,30666,30134,29918,29513,29181,29115
310M300US15820,15820,"Campbellsville, KY Micro Area",24512,24512,24673,24993,25076,25149,25372,25601,25437,25472
310M300US15860,15860,"Cañon City, CO Micro Area",46824,46824,46830,47315,46975,46260,46075,46204,46906,47559
310M300US15900,15900,"Canton, IL Micro Area",37069,37069,37074,36906,36586,36325,35992,35721,35517,35110
310M300US16100,16100,"Carlsbad-Artesia, NM Micro Area",53829,53829,53908,54037,54358,55518,56516,57479,57456,56997
310M300US16140,16140,"Carroll, IA Micro Area",20816,20816,20824,20853,20651,20538,20496,20420,20366,20320
310M300US16260,16260,"Cedar City, UT Micro Area",46163,46163,46261,46620,46642,46532,47050,48139,49796,51001
310M300US16340,16340,"Cedartown, GA Micro Area",41475,41475,41531,41305,41131,41073,40961,41372,41730,42085
310M300US16380,16380,"Celina, OH Micro Area",40814,40814,40786,40706,40700,40607,40721,40706,40710,40873
310M300US16420,16420,"Central City, KY Micro Area",31499,31499,31656,31527,31388,31331,31307,31248,31064,30816
310M300US16460,16460,"Centralia, IL Micro Area",39437,39437,39420,39138,39006,38671,38545,38341,38066,37902
310M300US16500,16500,"Centralia, WA Micro Area",75455,75457,75500,75657,75440,74974,74837,75419,76630,78200
310M300US16660,16660,"Charleston-Mattoon, IL Micro Area",64921,64921,64921,64682,64244,63927,63638,63442,63304,62887
310M300US17060,17060,"Chillicothe, OH Micro Area",78064,78065,78088,77559,77355,77254,77078,77068,76910,77313
310M300US17200,17200,"Claremont-Lebanon, NH-VT Micro Area",218466,218467,218410,218136,217478,217293,217144,216260,216458,216537
310M300US17220,17220,"Clarksburg, WV Micro Area",94196,94196,94348,94482,94368,94449,94236,94133,93810,93301
310M300US17260,17260,"Clarksdale, MS Micro Area",26151,26145,26106,25846,25613,25181,24842,24481,23820,23154
310M300US17340,17340,"Clearlake, CA Micro Area",64665,64665,64742,64273,64005,63855,64113,64310,63950,64246
310M300US17380,17380,"Cleveland, MS Micro Area",34145,34148,34099,33794,33988,33974,33803,33251,32634,31945
310M300US17500,17500,"Clewiston, FL Micro Area",39140,39140,39015,38941,37846,37767,38473,39094,39640,40347
310M300US17540,17540,"Clinton, IA Micro Area",49116,49116,49092,49086,48700,48264,47882,47545,47236,47010
310M300US17580,17580,"Clovis, NM Micro Area",48376,48376,48964,49710,50652,50494,50874,50068,50168,49812
310M300US17620,17620,"Coamo, PR Micro Area",40512,40512,40576,40569,40470,40412,40161,39875,39459,39071
310M300US17640,17640,"Coco, PR Micro Area",31078,31078,31042,30761,30411,30176,29740,29286,28777,28216
310M300US17700,17700,"Coffeyville, KS Micro Area",35471,35468,35353,34778,34476,34442,34067,33384,32867,32556
310M300US17740,17740,"Coldwater, MI Micro Area",45248,45248,45179,43913,43769,43554,43690,43604,43457,43410
