GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
310M400US10100,10100,"Aberdeen, SD Micro Area",40602,40603,40717,40962,41576,42155,42220,42404,42849,43235,43191
310M400US10140,10140,"Aberdeen, WA Micro Area",72797,72798,72843,72357,71770,71046,70783,71027,71572,72553,73901
310M400US10220,10220,"Ada, OK Micro Area",37492,37490,37599,37760,38080,38178,38308,38354,38525,38354,38247
310M400US10260,10260,"Adjuntas, PR Micro Area",19483,19483,19472,19297,19116,19021,18795,18567,18306,17935,17302
310M400US10300,10300,"Adrian, MI Micro Area",99892,99892,99635,99337,99004,98803,98737,98385,98499,98482,98266
310M400US10460,10460,"Alamogordo, NM Micro Area",63797,63832,64399,65644,66226,66326,65362,64739,65644,66198,66781
310M400US10620,10620,"Albemarle, NC Micro Area",60585,60586,60576,60520,60456,60631,60619,60635,60792,61451,62075
310M400US10660,10660,"Albert Lea, MN Micro Area",31255,31254,31204,31065,31023,30922,30742,30496,30409,30537,30444
310M400US10700,10700,"Albertville, AL Micro Area",93019,93019,93124,93892,94268,94370,94277,94606,95123,95609,96109
310M400US10760,10760,"Alexander City, AL Micro Area",41616,41618,41476,41397,41044,41028,40887,40611,40570,40613,40497
310M400US10820,10820,"Alexandria, MN Micro Area",36009,36009,35987,36175,36287,36343,36568,36782,37147,37556,37964
310M400US10860,10860,"Alice, TX Micro Area",40838,40836,40885,41211,41644,41679,41503,41526,41181,40930,40822
310M400US10940,10940,"Alma, MI Micro Area",42476,42476,42431,42112,41978,41931,41462,41319,40943,41011,40599
310M400US10980,10980,"Alpena, MI Micro Area",29598,29601,29517,29344,29172,28965,28887,28719,28656,28438,28360
310M400US11060,11060,"Altus, OK Micro Area",26446,26446,26483,26420,26229,26112,25826,25467,25466,25213,24949
310M400US11140,11140,"Americus, GA Micro Area",37829,37827,37700,37109,36608,36432,36356,35891,35529,35071,34969
310M400US11220,11220,"Amsterdam, NY Micro Area",50219,50258,50300,49901,49822,49738,49673,49579,49206,49216,49455
